effectsize;effectsize_1;effectsize_2;effectsize_3
0;10.6974;11.3672;10.602
0;10.7334;11.1837;10.907
1;10.7334;11.2013;10.907
0;10.6135;11.2705;10.5039
1;10.6311;11.2899;10.5766
0;10.6444;11.3685;10.6732
0;11.0644;11.1167;10.6248
1;10.9758;11.2876;10.6804
1;10.9322;11.1831;10.7647
0;10.6518;11.3473;10.7392
0;10.5532;11.3203;10.4756
0;10.593;11.2037;10.7026
1;10.7478;11.1326;10.6078
1;10.6725;11.1422;10.7043
0;10.6667;11.1949;10.844
0;10.9207;11.083;10.6348
1;10.7789;11.0993;10.8509
1;10.81;11.1917;10.8761
0;10.711;11.0717;10.2047
0;10.6639;11.27;10.4406
1;10.7258;11.2602;10.6405
1;10.6155;11.1784;10.4887
0;10.7012;11.1395;10.4604
0;10.7556;11.0562;10.6098
0;10.7507;11.0683;10.3708
1;10.7048;11.0837;10.6839
1;10.8421;11.0677;10.8209
0;10.6106;10.9755;10.266
0;10.6681;11.1342;10.4401
0;10.6993;11.0409;10.711
0;10.8172;11.0509;10.6823
0;10.7874;10.9961;10.7843
0;10.7592;11.1877;11.1937
0;10.8448;10.9628;10.257
1;10.76;11.0401;10.4342
1;10.7428;11.2013;10.5335
0;10.4896;11.2915;10.4474
0;10.446;11.367;10.4838
0;10.4889;11.4773;10.6014
0;10.5313;11.036;10.0856
0;10.4273;11.0782;10.4511
0;10.3116;11.229;10.889
0;10.7185;11.1839;10.4639
1;10.5469;11.2986;10.5828
1;10.6207;11.2926;10.6879
0;10.2966;11.0324;10.6338
0;10.6619;11.0622;10.7319
0;10.723;11.218;10.9138
0;10.8148;11.0712;10.5834
1;10.725;11.0889;10.5815
1;10.7454;11.3079;10.8283
0;10.4205;10.9927;10.3037
1;10.4104;11.1053;10.3357
1;10.5493;11.2651;10.4472
0;10.6092;11.1889;10.5172
0;10.786;11.21;10.6793
0;10.7205;11.2668;10.7345
0;10.4952;11.1154;10.4003
1;10.4426;11.1561;10.3945
1;10.4366;11.4311;10.6405
1;10.4621;11.0462;10.165
0;10.5252;11.1433;10.2495
0;10.6221;11.1799;10.4649
